,경도,위도,행정동코드
44059,126.76,36.0132,45130370
44060,126.758,36.0109,45130370
44061,126.756,36.0114,45130370
44062,126.684,35.9697,45130146
44063,126.676,35.9833,45130146
44064,126.688,35.9797,45130146
44065,126.413,35.8126,45130390
44066,126.709,35.9635,45130141
44067,126.711,35.966,45130141
44068,126.721,35.9656,45130141
44069,126.476,35.8222,45130390
44070,126.747,35.9367,45130310
44071,126.702,35.9833,45130104
44072,126.737,35.975,45130134
44073,126.735,35.9737,45130134
44074,126.737,35.9724,45130134
44075,126.737,35.9689,45130134
44076,126.74,35.969,45130134
44077,126.737,35.966,45130134
44078,126.707,35.9588,45130143
44079,126.71,35.9573,45130143
44080,126.712,35.9583,45130143
44081,126.707,35.9545,45130143
44082,126.703,35.9896,45130101
44083,127.105,35.5846,45750320
44084,126.746,35.9225,45130320
44085,126.71,35.9876,45130118
44086,126.729,35.9755,45130136
44087,126.724,35.9698,45130141
44088,126.758,35.9792,45130137
44089,126.677,35.9691,45130151
44090,126.682,35.9677,45130151
44091,127.023,35.8321,45710330
44092,127.018,35.8404,45710330
44093,127.022,35.8331,45710330
44094,127.018,35.832,45710330
44095,127.027,35.82,45710330
44097,127.113,36.0274,45140410
44098,127.072,35.9142,45710250
44100,127.072,35.9128,45710250
44102,127.07,35.9147,45710250
44103,127.07,35.9126,45710250
44104,126.999,35.8186,45710330
44105,127.061,35.9061,45710250
44106,127.072,35.9102,45710250
44107,127.16,35.9332,45710253
44108,127.166,35.9381,45710253
44109,127.169,35.9413,45710253
44110,127.162,35.9373,45710253
44111,127.241,35.4749,45770320
44112,127.124,35.5134,45750390
44113,127.142,35.5125,45750400
44114,127.234,35.8554,45710340
44115,127.161,35.5038,45750400
44116,127.144,35.534,45750390
44121,127.728,35.9563,45730330
44123,127.125,35.5831,45750320
44124,127.657,35.9415,45730330
44125,127.667,36.0091,45730250
44126,127.712,35.9669,45730330
44127,127.556,35.9791,45730350
44128,127.333,35.5829,45750355
44129,127.391,35.5203,45190390
44130,127.391,35.5159,45190390
44131,127.386,35.5213,45190390
44132,127.393,35.5639,45740310
44133,127.393,35.5636,45740310
44135,127.463,35.5404,45190410
44138,127.506,35.581,45740320
44139,127.512,35.5659,45740320
44140,127.504,35.58,45740320
44141,127.395,36.0045,45720400
44142,127.395,36.0008,45720400
44143,127.391,36.0016,45720400
44144,127.395,36.0017,45720400
44145,127.395,36.0016,45720400
44146,127.394,36.0012,45720400
44147,127.391,35.5828,45740310
44148,127.394,36.0023,45720400
44153,127.317,35.5027,45750355
44154,127.054,35.8336,45710330
44155,127.169,35.4951,45750400
44156,127.119,35.8269,45111129
44157,127.325,35.5002,45750355
44158,127.093,35.9207,45710250
44159,127.066,35.9037,45710250
44160,127.062,35.903,45710250
44161,127.059,35.9037,45710250
44169,127.169,35.9755,45710370
44170,127.199,35.9756,45710360
44171,127.024,35.8351,45710330
44172,127.124,35.5014,45770400
44173,127.305,35.496,45750355
44174,127.123,35.7296,45710350
44175,127.11,35.7295,45710350
44176,127.154,35.5144,45750400
44177,127.281,36.0879,45710380
44179,127.174,35.5622,45750390
44182,127.209,35.7644,45710320
44184,127.13,35.5025,45750400
44186,127.101,35.563,45750320
44187,127.336,35.5411,45750355
44189,127.157,35.5056,45750400
44190,127.124,35.5,45770400
44191,127.154,35.9307,45710253
44192,127.158,35.9245,45710253
44193,127.095,35.7323,45710350
44194,127.104,35.7298,45710350
44195,127.307,36.1015,45710380
44196,127.328,36.1166,45710380
44198,127.157,35.9308,45710253
44199,127.201,35.9749,45710360
44200,127.28,36.0881,45710380
44201,127.156,35.8823,45710256
44202,127.068,35.9009,45710250
44203,127.167,35.9381,45710253
44204,127.106,35.9222,45710250
44205,127.074,35.9116,45710250
44206,127.128,35.9948,45710253
44207,127.208,35.7677,45710320
44208,127.126,35.9598,45710253
44209,127.171,35.937,45710256
44210,127.207,35.975,45710360
44211,127.215,35.9757,45710360
44212,127.075,35.9096,45710250
44213,127.074,35.9123,45710250
44214,127.075,35.9167,45710250
44215,127.07,35.9009,45710250
44216,127.063,35.9051,45710250
44217,127.128,35.9605,45710253
44218,127.127,35.9605,45710253
44219,127.117,35.9617,45710253
